time,altitude,velocity,acceleration,mass
0.0,0.0,0.0,0.0,10.215000000000002
0.06666666666666667,0.0,0.0,118.58776584017696,10.169707234605598
0.13333333333333333,0.0,7.905851056011797,115.0674052161672,10.125846276300143
0.2,0.5270567370674532,15.577011403756277,112.1549413555661,10.083172746377542
0.26666666666666666,1.5655241639845383,23.05400749412735,115.4352131864087,10.03950425731265
0.3333333333333333,3.1024579969263617,30.749688373221264,114.67136822214215,9.996231184502294
0.4,5.152437221807779,38.39444625469741,113.12872142440031,9.95359375677203
0.4666666666666667,7.712066972120939,45.93636101632409,112.28062545562958,9.911325237580076
0.5333333333333333,10.77449103987588,53.421736046699394,112.83507853496232,9.868922709610011
0.6,14.335940109655839,60.944074615696884,113.33148281577103,9.826386172861833
0.6666666666666666,18.398878417368962,68.49950680341496,112.97528099481454,9.783980793641168
0.7333333333333333,22.96551220426329,76.03119220306927,112.53940336321176,9.741706571948018
0.8,28.034258351134575,83.53381909395006,111.96609645363517,9.699587798508993
0.8666666666666667,33.60317962406458,90.9982255241924,111.0078728128682,9.65773513107864
0.9333333333333333,39.66972799234407,98.39875037838362,109.97803241244883,9.61614856965696
1.0,46.22964468423631,105.73061920588022,108.83579146621753,9.574828114243953
1.0666666666666667,53.27835263129499,112.98633863696139,107.55801178001084,9.533773000578455
1.1333333333333333,60.81077520709242,120.15687275562878,106.47953436507818,9.492907566805174
1.2,68.82123339080101,127.25550837996732,105.5349232547626,9.45223181292411
1.2666666666666666,77.3049339494655,134.29116993028484,104.6907519046276,9.411763697373184
1.3333333333333333,86.25767861148448,141.27055339059334,102.94202402760534,9.371696537454712
1.4,95.6757155041907,148.13335499243368,100.32083172816944,9.332030333168696
1.4666666666666666,105.55127250368628,154.8214104409783,96.76361656393071,9.292765084515134
1.5333333333333332,115.87269986641816,161.27231821190702,93.28526999934624,9.253885056013003
1.6,126.62418774721196,167.49133621186343,90.88858549698136,9.215366146482506
1.6666666666666667,137.79027682800285,173.5505752449955,89.80369657917365,9.177208355923643
1.7333333333333334,149.3603151776692,179.53748835027375,89.28594605020932,9.139411684336416
1.8,161.32948106768745,185.48988475362103,87.63500418660539,9.102271080384364
1.8666666666666667,173.69547338459552,191.3322183660614,84.88800507300834,9.065839969375249
1.9333333333333333,186.4509546089996,196.99141870426195,82.52135224420525,9.029503704241591
2.0,199.5837158559504,202.49284218720896,77.33559045861328,8.993491065844182
2.0666666666666664,213.083238668431,207.64854821778317,64.04838992961217,8.960623684799438
2.1333333333333333,226.9264752162832,211.91844087975733,48.78897992400678,8.932556198532664
2.2,241.0543712749337,215.17103954135777,33.28388569645491,8.909327545692252
2.2666666666666666,255.39910724435754,217.38996525445478,19.933474337454605,8.890244327121868
2.3333333333333335,269.89177159465453,218.71886354361843,11.086995097516068,8.873900972039927
2.4,284.4730291642291,219.4579965501195,2.266767521905793,8.860278245136579
2.466666666666667,299.1035622675704,219.60911438491323,-6.264456113753743,8.849278804086241
2.533333333333333,313.7441698932313,219.19148397732965,-14.815428696632209,8.840902648888912
2.6,328.3569354917199,218.2037887308875,-22.818770382590564,8.834978138676254
2.6666666666666665,342.90385474044575,216.68253737204813,-29.76398930766306,8.831179404553303
2.7333333333333334,357.34935723191563,214.69827141820392,-35.36995334755247,8.831179404553303
2.8,371.66257532646256,212.34027452836708,-38.12322089724157,8.831179404553303
2.8666666666666667,385.8185936283537,209.79872646855097,-39.47048239027119,8.831179404553303
2.933333333333333,399.8051753929238,207.16736097586622,-40.817743883300786,8.831179404553303
3.0,413.61633279131485,204.44617805031282,-42.1650053763304,8.831179404553303
3.0666666666666664,427.246077994669,201.6351776918908,-42.1650053763304,8.831179404553303
3.1333333333333333,440.6884231741284,198.82417733346875,-42.1650053763304,8.831179404553303
3.2,453.943368329693,196.01317697504672,-40.6824202274454,8.831179404553303
3.2666666666666666,467.01091346136275,193.30101562655037,-37.64984551652313,8.831179404553303
3.3333333333333335,479.8976478364661,190.79102592544882,-35.34984645834714,8.831179404553303
3.4,492.61704956482936,188.43436949489234,-33.708006819708686,8.831179404553303
3.466666666666667,505.17934086448884,186.1871690402451,-32.54197615329436,8.831179404553303
3.533333333333333,517.5918188005052,184.0177039633588,-31.726196796595048,8.831179404553303
3.6,529.8596657313958,181.90262417691912,-31.175265374894707,8.831179404553303
3.6666666666666665,541.9865073431904,179.82427315192615,-30.827647046206422,8.831179404553303
3.7333333333333334,553.9747922199855,177.76909668217905,-30.636187919963675,8.831179404553303
3.8,565.8260653321307,175.72668415418147,-30.562437802062206,8.831179404553303
3.8666666666666667,577.5411776090762,173.68918830071067,-30.573058485988255,8.831179404553303
3.933333333333333,589.1204568291236,171.6509844016448,-30.6374559219679,8.831179404553303
4.0,600.5638557892332,169.60848734018026,-30.726195897599318,8.831179404553303
4.066666666666666,611.8710882785786,167.5600742803403,-30.809980109808883,8.831179404553303
4.133333333333333,623.0417598972679,165.50607560635305,-30.859079842777163,8.831179404553303
4.2,634.0754982710247,163.44880361683457,-30.84319378441281,8.831179404553303
4.266666666666667,644.9720851788137,161.39259069787371,-30.73173420304007,8.831179404553303
4.333333333333333,655.7315912253387,159.34380841767106,-30.49455870921058,8.831179404553303
4.4,666.3545117865167,157.31083783705702,-30.103483221669222,8.831179404553303
4.466666666666667,676.8419009756539,155.3039389556124,-29.55489458416735,8.831179404553303
4.533333333333333,687.195496906028,153.33361265000124,-28.882343267081005,8.831179404553303
4.6,697.4177377493614,151.40812309886252,-28.123003358855797,8.831179404553303
