2019-02-05 21:27:14.615118,time,altitude,velocity,acceleration
2019-02-05 21:27:14.655273,0.0,0.0,0.0,0.0
2019-02-05 21:27:14.655378,0.04,0.0,0.0,6.284303974859066
2019-02-05 21:27:14.655434,0.08,0.0,0.25137215899436266,31.338558636501375
2019-02-05 21:27:14.655483,0.12,0.010054886359774506,1.5049145044544177,38.69038194662083
2019-02-05 21:27:14.655541,0.16,0.07025146653795121,3.052529782319251,36.40680015848928
2019-02-05 21:27:14.655586,0.2,0.19235265783072125,4.508801788658822,35.93371028218208
2019-02-05 21:27:14.655628,0.24,0.3727047293770741,5.946150199946105,36.19308972985793
2019-02-05 21:27:14.655681,0.28,0.6105507373749184,7.3938737891404225,36.694176781904154
2019-02-05 21:27:14.655734,0.32,0.9063056889405353,8.861640860416589,37.54595945805314
2019-02-05 21:27:14.655783,0.36,1.2607713233571989,10.363479238738714,38.03672702844284
2019-02-05 21:27:14.655822,0.4,1.6753104929067475,11.884948319876427,38.07936589507622
2019-02-05 21:27:14.655859,0.44,2.1507084257018048,13.408122955679476,38.307800687991346
2019-02-05 21:27:14.655895,0.48,2.687033343928984,14.940434983199129,38.428832549751256
2019-02-05 21:27:14.655931,0.52,3.2846507432569494,16.477588285189178,38.369064534623355
2019-02-05 21:27:14.655967,0.56,3.9437542746645167,18.012350866574113,38.28063141214048
2019-02-05 21:27:14.656003,0.6,4.664248309327482,19.543576123059733,38.31151303809045
2019-02-05 21:27:14.656039,0.64,5.445991354249871,21.07603664458335,38.06449195767311
2019-02-05 21:27:14.656075,0.68,6.289032820033205,22.598616322890276,37.78408179011723
2019-02-05 21:27:14.656110,0.72,7.192977472948816,24.109979594494966,37.5219939169122
2019-02-05 21:27:14.656162,0.76,8.157376656728616,25.610859351171456,37.13786310073743
2019-02-05 21:27:14.656208,0.8,9.181811030775474,27.096373875200953,36.76532879615372
2019-02-05 21:27:14.656244,0.84,10.265665985783512,28.5669870270471,35.88058304628445
2019-02-05 21:27:14.656278,0.88,11.408345466865397,30.00221034889848,34.70151787569375
2019-02-05 21:27:14.656313,0.92,12.608433880821336,31.390271063926228,33.68518922965846
2019-02-05 21:27:14.656363,0.96,13.864044723378385,32.737678633112566,32.81931283726308
2019-02-05 21:27:14.656419,1.0,15.173551868702887,34.05045114660309,31.61160246216565
2019-02-05 21:27:14.656466,1.04,16.53556991456701,35.314915245089715,30.007092812233388
2019-02-05 21:27:14.656504,1.08,17.9481665243706,36.51519895757905,28.52586212958539
2019-02-05 21:27:14.656540,1.12,19.40877448267376,37.65623344276247,26.952848240372965
2019-02-05 21:27:14.656575,1.16,20.91502382038426,38.73434737237739,25.487055169788626
2019-02-05 21:27:14.656610,1.2,22.464397715279354,39.75382957916894,24.28811691672979
2019-02-05 21:27:14.656647,1.24,24.054550898446113,40.72535425583813,23.1778398783089
2019-02-05 21:27:14.656682,1.28,25.683565068679638,41.65246785097048,21.958526835446456
2019-02-05 21:27:14.656724,1.32,27.34966378271846,42.53080892438834,20.92081387632787
2019-02-05 21:27:14.656761,1.36,29.050896139693993,43.36764147944145,19.680395962667667
2019-02-05 21:27:14.656798,1.4000000000000001,30.785601798871653,44.15485731794816,17.066855174811067
2019-02-05 21:27:14.656834,1.44,32.55179609158958,44.8375315249406,11.117140865140007
2019-02-05 21:27:14.656869,1.48,34.3452973525872,45.2822171595462,-0.05993238561819503
2019-02-05 21:27:14.656905,1.52,36.15658603896905,45.27981986412147,-5.676888552316862
2019-02-05 21:27:14.656939,1.56,37.96777883353391,45.05274432202879,-8.696096871635556
2019-02-05 21:27:14.656975,1.6,39.769888606415066,44.70490044716337,-10.180130925643262
2019-02-05 21:27:14.657011,1.6400000000000001,41.5580846243016,44.29769521013764,-10.174696100035222
2019-02-05 21:27:14.657049,1.68,43.32999243270711,43.89070736613623,-10.16840377393478
2019-02-05 21:27:14.657084,1.72,45.085620727352556,43.48397121517884,-10.162189226202832
2019-02-05 21:27:14.657119,1.76,46.82497957595971,43.07748364613073,-10.156051772699186
2019-02-05 21:27:14.657153,1.8,48.54807892180494,42.671241575222766,-10.149990128481774
2019-02-05 21:27:14.657188,1.84,50.25492858481385,42.265241970083494,-10.144002991953027
2019-02-05 21:27:14.657234,1.8800000000000001,51.94553826361719,41.85948185040537,-10.138089047358093
2019-02-05 21:27:14.657270,1.92,53.619917537633405,41.453958288511046,-10.132246966903148
2019-02-05 21:27:14.657305,1.96,55.27807586917385,41.04866840983492,-10.126475412852109
2019-02-05 21:27:14.657341,2.0,56.92002260556724,40.64360939332083,-10.120773039602822
2019-02-05 21:27:14.657376,2.04,58.545766981300076,40.238778471736715,-10.115138495743532
2019-02-05 21:27:14.657411,2.08,60.15531812016955,39.83417293190698,-10.109570426090418
2019-02-05 21:27:14.657446,2.12,61.748685037445824,39.42979011486336,-10.104067473706978
2019-02-05 21:27:14.657481,2.16,63.325876642040356,39.02562741591508,-10.098628281905963
2019-02-05 21:27:14.657516,2.2,64.88690173867695,38.621682284638844,-10.093251496234554
2019-02-05 21:27:14.657550,2.24,66.43176903006251,38.217952224789464,-10.087935766443453
2019-02-05 21:27:14.657585,2.2800000000000002,67.9604871190541,37.81443479413173,-10.082679748440507
2019-02-05 21:27:14.657620,2.32,69.47306451081936,37.41112760419411,-10.077482106229462
2019-02-05 21:27:14.657655,2.36,70.96950961498712,37.00802831994493,-10.072341513834411
2019-02-05 21:27:14.657690,2.4,72.44983074778492,36.60513465939155,-10.067256657210478
2019-02-05 21:27:14.657728,2.44,73.91403613416058,36.202444393103136,-10.06222623614123
